EmotionType,Emotion,Character,Title,Kaomoji
positive,excited,human,Both Arms Up,＼（＠￣∇￣＠）／
positive,excited,human,Both Arms Up,＼(^▽^＠)ノ
positive,excited,human,Both Arms Up,ヾ(@^▽^@)ノ
positive,excited,human,Both Arms Up,(((＼（＠v＠）／)))
positive,excited,human,Both Arms Up,＼(*T▽T*)／
positive,excited,human,Both Arms Up,＼（＾▽＾）／
positive,excited,human,Both Arms Up,＼（Ｔ∇Ｔ）／
positive,excited,human,Both Arms Up,ヾ(●ω●)ノ
positive,excited,human,Both Arms Up,ヽ( ★ω★)ノ
positive,excited,human,Both Arms Up,ヽ(；▽；)ノ
positive,excited,human,Both Arms Up,ヾ(。◕ฺ∀◕ฺ)ノ
positive,excited,human,Both Arms Up,ヾ(＠† ▽ †＠）ノ
positive,excited,human,Both Arms Up,ヾ(＠^∇^＠)ノ
positive,excited,human,Both Arms Up,ヾ(＠^▽^＠)ﾉ
positive,excited,human,Both Arms Up,ヾ（＠＾▽＾＠）ノ
positive,excited,human,Both Arms Up,ヾ(＠゜▽゜＠）ノ
positive,excited,human,Both Arms Up,ヾ(@°▽°@)ノ
positive,excited,human,Both Arms Up,ヾ(＠°▽°＠)ﾉ
positive,excited,human,Both Arms Up,ヽ(*≧ω≦)ﾉ
positive,excited,human,Both Arms Up,ヽ(*⌒∇⌒*)ﾉ
positive,excited,human,Both Arms Up,ヽ(^。^)丿
positive,excited,human,Both Arms Up,ヽ(＾Д＾)ﾉ
positive,excited,human,Both Arms Up,ヽ(=^･ω･^=)丿
positive,excited,human,Both Arms Up,⸂⸂⸜(രᴗര๑)⸝⸃⸃
positive,excited,human,Both Arms Up,⸜(ّᶿധّᶿ)⸝
positive,excited,human,Both Arms Up,ヽ(｡･ω･｡)ﾉ
positive,excited,human,Both Arms Up,╰(‘ω’ )╯
positive,excited,human,Both Arms Up,╰(°ㅂ°)╯
positive,excited,human,Both Arms Up,┗(＾∀＾)┛
positive,excited,human,Both Arms Up,ヾ(๑’౪`๑)ﾉﾞ
positive,excited,human,Both Arms Up,ヾ(*Őฺ∀Őฺ*)ﾉ
positive,excited,human,Both Arms Up,╰(✧∇✧)╯
positive,excited,human,Both Arms Up,ヾ(๑⃙⃘´ꇴ｀๑⃙⃘)ﾉ
positive,excited,human,Both Arms Up,✯⸜(ّᶿ̷ധّᶿ̷)⸝✯
positive,excited,human,Both Arms Up,◦°˚\(´°౪°`)/˚°◦
positive,excited,human,Both Arms Up,\(-ㅂ-)/
positive,excited,human,Both Arms Up,◦°˚\(*❛‿❛)/˚°◦
positive,excited,human,Both Arms Up,╰(◉ᾥ◉)╯
positive,excited,human,Both Arms Up,⌒°(ᴖ◡ᴖ)°⌒
positive,excited,human,Both Arms Up,ヾ(´∀｀○)ﾉ
positive,excited,human,Both Arms Up,｡ﾟ✶ฺ.ヽ(*´∀`*)ﾉ.✶ฺﾟ｡
positive,excited,human,Both Arms Up,＼(;ﾟ∇ﾟ)/
positive,excited,human,Both Arms Up,ヽ(*´∀`)ﾉﾞ
positive,excited,human,Both Arms Up,⸂⸂⸜(ೆ௰ೆ๑)⸝⸃⸃
positive,excited,human,Both Arms Up,✧⁺⸜(●′▾‵●)⸝⁺✧
positive,excited,human,Both Arms Up,ヾ(`ω`　)/
positive,excited,human,Both Arms Up,◦°˚\☻/˚°◦
positive,excited,human,Both Arms Up,ヾ(｡^ω^｡)ノ
positive,excited,human,Both Arms Up,⸜(ّᶿॕധّᶿॕ)⸝
positive,excited,human,Both Arms Up,⸜(ؔᶿധؔᶿ)⸝
positive,excited,human,Both Arms Up,╰( ･ ᗜ ･ )╯
positive,excited,human,Both Arms Up,┏○ ＼(ﾟ 0ﾟ ;)/┓
positive,excited,human,Both Arms Up,҉*\( ‘ω’ )/*҉
positive,excited,human,Both Arms Up,ヽ(^◇^*)/
positive,excited,human,Both Arms Up,ヾ(≧∇≦)ゞ
positive,excited,human,Both Arms Up,*。ヾ(｡>ｖ<｡)ﾉﾞ*。
positive,excited,human,Both Arms Up,☆*~ﾟ⌒(‘-‘*)⌒ﾟ~*☆
positive,excited,human,Both Arms Up,ヽ(ﾟ∀ﾟ)ﾉ
positive,excited,human,Both Arms Up,ヾ(o≧∀≦o)ﾉﾞ
positive,excited,human,Both Arms Up,.｡ﾟ+.ヽ| ゝ∀・*|ﾉ｡+.ﾟ
positive,excited,human,Both Arms Up,(ﾟ<|＼(･ω･)／|>ﾟ)
positive,excited,human,Both Arms Up,╰| ° ◞౪◟ ° |╯
positive,excited,human,Both Arms Up,ヽ༼>ل͜<༽ﾉ
positive,excited,human,Both Arms Up,ヽ[ヘ ل͟ ヘ]╯
positive,excited,human,Both Arms Up,＼(・ω・)/
positive,excited,human,Both Arms Up,ヽ（゜ω゜○）ノ
positive,excited,human,Both Arms Up,☆~~ヾ(>▽<)ﾉ｡･☆
positive,excited,human,Both Arms Up,＼（*´･∀･｀*）／
positive,excited,human,Both Arms Up,＼（゜э゜）／
positive,excited,human,Both Arms Up,ヾ(￣◇￣)ノ
positive,excited,human,Both Arms Up,ヾ【*≧д≦】ノ
positive,excited,human,Both Arms Up,ヽ(^O^)ノ
positive,excited,human,Both Arms Up,ヾ(´▽｀*)ﾉ☆
positive,excited,human,Both Arms Up,ヾ(・∀・｀*)ﾉ☆
positive,excited,human,Both Arms Up,☆ヾ(*´▽｀)ﾉ
positive,excited,human,Both Arms Up,☆ヾ(*´・∀・)ﾉ
positive,excited,human,Both Arms Up,ヾ(*・ω・)ノ
positive,excited,human,Both Arms Up,ヾ(・ω・*)ノ
positive,excited,human,Both Arms Up,ヽ( ´￢`)ﾉ
positive,excited,human,Both Arms Up,ヾ(≧∪≦*)ノ〃
positive,excited,human,Both Arms Up,ヾ(*ゝω・*)ノ
positive,excited,human,Both Arms Up,＼（○＾ω＾○）／
positive,excited,human,Both Arms Up,╰(*´︶`*)╯
positive,excited,human,Both Arms Up,ヽ( ´ー`)ノ
positive,excited,human,Both Arms Up,┝＼( ‘∇^*)^☆／┥
positive,excited,human,Both Arms Up,ヽ(^o^)丿
positive,excited,human,Both Arms Up,┗|⌒O⌒|┛
positive,excited,human,Both Arms Up,┗|・o・|┛
positive,excited,human,Both Arms Up,ヾ(●・◇・●)ノ
positive,excited,human,Both Arms Up,ヽ( ‘ω’ )ﾉ
positive,excited,human,Both Arms Up,((ヾ(* ´∀｀)ノ))
positive,excited,human,Both Arms Up,ヽ(´∇｀)ﾉ
positive,excited,human,Both Arms Up,･:*+.\(( °ω° ))/.:+
positive,excited,human,Both Arms Up,ヽ(^□^｡)ノ
positive,excited,human,Both Arms Up,ヾ(o✪‿✪o)ｼ
positive,excited,human,Both Arms Up,＼(*ﾟ∀ﾟ*)／
positive,excited,human,Both Arms Up,＼(*^￢^*)／
positive,excited,human,Both Arms Up,Ψ(≧ω≦)Ψ
positive,excited,human,Both Arms Up,ヽ(*≧л≦)ﾉ
positive,excited,human,Both Arms Up,⸜₍ᕏ͜⁎₎⸝
positive,excited,human,Both Arms Up,୧☉□☉୨
positive,excited,human,No Arms,(* >ω<)
positive,excited,human,No Arms,(*≧▽≦)
positive,excited,human,No Arms,(๑>ᴗ<๑)
positive,excited,human,No Arms,( ˃̶ω˂̶ ૃ)
positive,excited,human,No Arms,(٭°̧̧̧ω°̧̧̧٭)
positive,excited,human,No Arms,⸍⚙̥ꇴ⚙̥⸌
positive,excited,human,No Arms,(⊙ꇴ⊙)
positive,excited,human,No Arms,(*≧∀≦*)
positive,excited,human,No Arms,(≧∇≦*)
positive,excited,human,No Arms,（๑✧∀✧๑）
positive,excited,human,No Arms,(★^O^★)
positive,excited,human,No Arms,(ᗒᗨᗕ)
positive,excited,human,No Arms,(⌯꒪͒ ꌂ̇ ꒪͒)
positive,excited,human,No Arms,(≧∀≦)
positive,excited,human,No Arms,(⌬̀⌄⌬́)
positive,excited,human,No Arms,₊·*◟(˶╹̆ꇴ╹̆˵)◜‧*･
positive,excited,human,No Arms,(ᗒᏬᗕ) ˡ̵˖✮⃛
positive,excited,human,No Arms,(ؑ⸍⸍ᵕؑ̇⸍⸍)◞✧
positive,excited,human,No Arms,✮⃛( ◞´•௰•`)✮⃛
positive,excited,human,No Arms,(ؑᵒᵕؑ̇ᵒ)◞✧
positive,excited,human,No Arms,₍₍ ◝(●˙꒳˙●)◜ ₎₎
positive,excited,human,No Arms,(´｡✪ω✪｡｀)
positive,excited,human,No Arms,｡;+*(★`∪´☆)*+;｡
positive,excited,human,No Arms,(๑˃̶͈̀o˂̶͈́๑)
positive,excited,human,No Arms,≧ω≦
positive,excited,human,No Arms,(✧ ꒪◞౪◟꒪)
positive,excited,human,٩ and ۶ Arms,٩(^ᴗ^)۶
positive,excited,human,٩ and ۶ Arms,٩(๑꒦ິȏ꒦ິ๑)۶
positive,excited,human,٩ and ۶ Arms,٩(●˙▿˙●)۶…⋆ฺ
positive,excited,human,٩ and ۶ Arms,٩(๑ơలơ)۶♡
positive,excited,human,٩ and ۶ Arms,୧(﹒︠ᴗ﹒︡)୨
positive,excited,human,٩ and ۶ Arms,٩(ó｡ò۶ ♡)))♬
positive,excited,human,٩ and ۶ Arms,ε٩( ºωº )۶з
positive,excited,human,٩ and ۶ Arms,٩(๑òωó๑)۶
positive,excited,human,٩ and ۶ Arms,٩( ๑^ ꇴ^)۶
positive,excited,human,٩ and ۶ Arms,٩(๑˃́ꇴ˂̀๑)۶
positive,excited,human,٩ and ۶ Arms,٩(๑∂▿∂๑)۶♡
positive,excited,human,٩ and ۶ Arms,٩(♡ε♡ )۶
positive,excited,human,٩ and ۶ Arms,۹(ÒہÓ)۶
positive,excited,human,٩ and ۶ Arms,٩(⚙ȏ⚙)۶
positive,excited,human,٩ and ۶ Arms,٩(✿∂‿∂✿)۶
positive,excited,human,٩ and ۶ Arms,୧⍢⃝୨
positive,excited,human,٩ and ۶ Arms,⁽⁽٩(๑˃̶͈̀ ᗨ ˂̶͈́)۶⁾⁾
positive,excited,human,٩ and ۶ Arms,(୨৩́ಐ৩̀੧)
positive,excited,human,٩ and ۶ Arms,٩(;ʘ¿ʘ;)۶
positive,excited,human,٩ and ۶ Arms,=。:.ﾟ٩(๑>ω<๑)۶:.｡+ﾟ
positive,excited,human,٩ and ۶ Arms,٩(˘◊˘)۶
positive,excited,human,٩ and ۶ Arms,٩(*ゝڡゝ๑)۶♥
positive,excited,human,٩ and ۶ Arms,٩(｡θᗨθ｡)۶
positive,excited,human,٩ and ۶ Arms,٩(⚙ᴗ⚙)۶
positive,excited,human,٩ and ۶ Arms,୧(˃◡ु˂)୨
positive,excited,human,٩ and ۶ Arms,۹(˒௰˓)۶
positive,excited,human,٩ and ۶ Arms,٩(●ᴗ●)۶
positive,excited,human,٩ and ۶ Arms,♡〜٩( ˃́▿˂̀ )۶〜♡
positive,excited,human,٩ and ۶ Arms,٩(º౪º๑)۶
positive,excited,human,٩ and ۶ Arms,=。:.ﾟ٩(๑>◊<๑)۶:.｡+ﾟ
positive,excited,human,٩ and ۶ Arms,٩(๑❛ᴗ❛๑)۶
positive,excited,human,٩ and ۶ Arms,୧| ͡ᵔ ﹏ ͡ᵔ |୨
positive,excited,human,٩ and ۶ Arms,୧〳 ” ʘ̆ ᗜ ʘ̆ ” 〵୨
positive,excited,human,٩ and ۶ Arms,٩(๑❛ʚ❛๑)۶
positive,excited,human,٩ and ۶ Arms,٩(இ ⌓ இ๑)۶
positive,excited,human,٩ and ۶ Arms,୧| ” •̀ ل͜ •́ ” |୨
positive,excited,human,٩ and ۶ Arms,"୧( , ＾ 〰 ＾ , )୨"
positive,excited,human,٩ and ۶ Arms,٩| ര ‿ ര |╯
positive,excited,human,٩ and ۶ Arms,୧〳 ＾ ౪ ＾ 〵୨
positive,excited,human,٩ and ۶ Arms,୧( ˵ ° ~ ° ˵ )୨
positive,excited,human,٩ and ۶ Arms,୧། ☉ ౪ ☉ །୨
positive,excited,human,٩ and ۶ Arms,୧༼ ヘ ᗜ ヘ ༽୨
positive,excited,human,٩ and ۶ Arms,❣࿌ིྀ྇°˚࿅୧( ॑ധ ॑)୨࿅˳०࿌ིྀ྇
positive,excited,human,٩ and ۶ Arms,٩(◦`꒳´◦)۶
positive,excited,human,٩ and ۶ Arms,٩(๑˃̌ۿ˂̌๑)۶
positive,excited,human,٩ and ۶ Arms,٩(θ‿θ)۶
positive,excited,human,Elaborate Excitement,˚₊*(ˊॢo̶̶̷̤◡ुo̴̶̷̤ˋॢ)*₊˚⁎
positive,excited,human,Elaborate Excitement,•ू(ᵒ̴̶̷ωᵒ̴̶̷*•ू) ​ )੭ु⁾
positive,excited,human,Elaborate Excitement,(❛ัॢᵕ❛ั ॢ)✩*ೃ.⋆
positive,excited,human,Elaborate Excitement,␟␏(ɲ˃ ˈ̫̮ ˂ɳ)␟␏ෆ
positive,excited,human,Elaborate Excitement,ෆ⃛(ٛ⌯ॢ˃ ɪ ˂ٛ⌯ॢ)
positive,excited,human,Elaborate Excitement,˚‧*♡ॢ˃̶̤̀◡˂̶̤́♡ॢ*‧˚
positive,excited,human,Elaborate Excitement,⁺✧.(˃̶ ॣ⌣ ॣ˂̶∗̀)ɞ⁾
positive,excited,human,Elaborate Excitement,₊*ˈ˚·(๑˃̶̡̢̥ ॣಐ ॣ˂̶̡̢̥๑)·˚ˈ*₊
positive,excited,human,Looking back and forth,\(●⁰౪⁰●\)(//●⁰౪⁰●)//
positive,excited,human,Looking back and forth,(´ ↂ⃙⃙⃚ꇴↂ⃙⃙⃚ `≡´ ↂ⃙⃙⃚ꇴↂ⃙⃙⃚ `)
positive,excited,human,Looking back and forth,✩⃛∗·⁽⁽◞(˃◟̵◞̵˂⁎=͟͟͞͞ ⁎˃◟̵◞̵˂)◟⁾⁾·∗✩⃛
positive,excited,human,Looking back and forth,o(^O^*=*^O^)o
positive,excited,human,Looking back and forth,✧(๑✪д✪)۶ㅂ٩(✪д✪๑)✧
positive,excited,human,Looking back and forth,⁽⁽◞(꒪ͦᴗ̵̍꒪ͦ=͟͟͞͞ ꒪ͦᴗ̵̍꒪ͦ)◟⁾⁾
positive,excited,human,Looking back and forth,ヾ(ﾟ∀ﾟ○)ﾂ三ヾ(●ﾟ∀ﾟ)ﾉ
positive,excited,human,Words,✧*.◟(ˊᗨˋ)◞.*✧ᗯ੨~ɪ̊♪ْ˖⋆
positive,excited,human,Words,꒳ᵃ꒳ᵃ꒳ᵃ~(๑°ᗨૢ°๑)♡ӵᵉ੨ᑋ✧
positive,excited,human,Fists or Grabby,(⁼̴̀ૢ꒳​⁼̴́ૢ๑)
positive,excited,human,Fists or Grabby,ෆු(*˃ர்˂*)ෆු
positive,excited,human,Fists or Grabby,(ٛɲ˃ ˑ̣̮ ˂ٛɳ)
positive,excited,human,Fists or Grabby,d(๑꒪່౪̮꒪່๑)b
positive,excited,human,Fists or Grabby,( ˃̆ૢ௰˂̆ૢഃ )
positive,excited,human,Fists or Grabby,ლ(*꒪ヮ꒪*)ლ
positive,excited,human,Fists or Grabby,૮(ᶿ̴͈᷇ॢ௰ᶿ̴͈᷆ॢ)ა✧
positive,excited,human,Fists or Grabby,∗˚(* ˃̤൬˂̤ *)˚∗
positive,excited,human,Fists or Grabby,б（＞ε＜）∂
positive,excited,human,Fists or Grabby,∩|*`・ρ・´|∩
positive,excited,human,Fists or Grabby,(gΦ皿Φ)g〃
positive,excited,human,Fists or Grabby,(༶ૢ˃̵̑◡˂̵̑༶ૢ)
positive,excited,human,Miscellaneous,о(ж＞▽＜)ｙ ☆
positive,excited,human,Miscellaneous,*＼( *ω*)┓
positive,excited,human,Miscellaneous,โ๏∀๏ใ
positive,excited,human,Miscellaneous,癶(癶✺౪✺ )癶
positive,excited,human,Miscellaneous,⊂((〃≧▽≦〃))⊃
positive,excited,human,Miscellaneous,~(≧◇≦)/ﾞﾞﾞﾞ
positive,excited,human,Miscellaneous,6((((≧▽≦))))9
positive,excited,human,Giant Emoticons,☆*･゜ﾟ･*(^O^)/*･゜ﾟ･*☆
positive,excited,human,Giant Emoticons,☆*:.｡. o(≧▽≦)o .｡.:*☆
positive,excited,human,Giant Emoticons,*✲ﾟ*｡✧٩(･ิᴗ･ิ๑)۶*✲ﾟ*｡✧
positive,excited,human,Giant Emoticons,｡.ﾟ+:((ヾ(｡･ω･)ｼ)).:ﾟ+｡
positive,excited,human,Giant Emoticons,＼（　●　⌒　∇　⌒　●　）／
positive,excited,human,Giant Emoticons,☆ミヾ(∇≦((ヾ(≧∇≦)〃))≧∇)ノ彡☆
positive,excited,human,Giant Emoticons,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ
positive,excited,human,Giant Emoticons,＼＼(゜ロ＼＼)Ξ(／／ロ゜)／／
positive,excited,bird,Giant Emoticons,o͡͡͡͡͡͡͡͡͡͡͡͡͡͡╮(^ ਊ ^)╭o͡͡͡͡͡͡͡͡͡͡͡͡͡͡
positive,happy,human,Famous Happy Emoticons,( ͡° ͜ʖ ͡°)
positive,happy,human,Famous Happy Emoticons,∠( ᐛ 」∠)＿
positive,happy,human,Famous Happy Emoticons,(ﾟ⊿ﾟ)
positive,happy,human,Famous Happy Emoticons,ᕕ( ᐛ )ᕗ
positive,happy,human,Famous Happy Emoticons,_へ__(‾◡◝ )>
positive,happy,human,Famous Happy Emoticons,( ᐛ )و
positive,happy,human,Famous Happy Emoticons,( ◞･౪･)
positive,happy,human,Triangle Mouths,( ´ ▽ ` )ﾉ
positive,happy,human,Triangle Mouths,(*^▽^*)
positive,happy,human,Triangle Mouths,(´∇ﾉ｀*)ノ
positive,happy,human,Triangle Mouths,(ノ^∇^)
positive,happy,human,Triangle Mouths,⊂((・▽・))⊃
positive,happy,human,Triangle Mouths,(　＾∇＾)
positive,happy,human,Triangle Mouths,( ﾟ▽ﾟ)/
positive,happy,human,Triangle Mouths,（‐＾▽＾‐）
positive,happy,human,Triangle Mouths,(“⌒∇⌒”)
positive,happy,human,Triangle Mouths,（*´▽｀*）
positive,happy,human,Triangle Mouths,(*＾▽＾)／
positive,happy,human,Triangle Mouths,(*^▽^*)
positive,happy,human,Triangle Mouths,(*~▽~)
positive,happy,human,Triangle Mouths,(*≧▽≦)
positive,happy,human,Triangle Mouths,(*⌒∇⌒*)
positive,happy,human,Triangle Mouths,(*⌒▽⌒*)θ～♪
positive,happy,human,Triangle Mouths,(/^▽^)/
positive,happy,human,Triangle Mouths,(^∇^)
positive,happy,human,Triangle Mouths,(＾▽＾)
positive,happy,human,Triangle Mouths,(￣▽￣)ノ
positive,happy,human,Triangle Mouths,(￣▽+￣*)
positive,happy,human,Triangle Mouths,(゜▽゜;)
positive,happy,human,Triangle Mouths,（=´∇｀=）
positive,happy,human,Triangle Mouths,(＝⌒▽⌒＝)
positive,happy,human,Triangle Mouths,(≡^∇^≡)
positive,happy,human,Triangle Mouths,(≧∇≦)/
positive,happy,human,Triangle Mouths,（⌒▽⌒）
positive,happy,human,Triangle Mouths,(⌒▽⌒)☆
positive,happy,human,Triangle Mouths,（⌒▽⌒ゞ
positive,happy,human,Triangle Mouths,(●⌒∇⌒●)
positive,happy,human,Triangle Mouths,(❁´▽`❁)*✲ﾟ*
positive,happy,human,Triangle Mouths,(ノ*゜▽゜*)
positive,happy,human,Triangle Mouths,°˖✧◝(⁰▿⁰)◜✧˖°
positive,happy,human,Triangle Mouths,~ヾ(＾∇＾)
positive,happy,human,Triangle Mouths,∩(︶▽︶)∩
positive,happy,human,Triangle Mouths,≧(´▽｀)≦
positive,happy,human,Triangle Mouths,ー( ´ ▽ ` )ﾉ
positive,happy,human,Triangle Mouths,ヾ(´▽｀;)ゝ
positive,happy,human,Triangle Mouths,ヾ(＾∇＾)
positive,happy,human,Triangle Mouths,d=(´▽｀)=b
positive,happy,human,Triangle Mouths,o(〃＾▽＾〃)o
positive,happy,human,Triangle Mouths,o(^▽^)o
positive,happy,human,Triangle Mouths,Ｏ(≧∇≦)Ｏ
positive,happy,human,Triangle Mouths,o(≧∇≦o)
positive,happy,human,Triangle Mouths,(๑꒪▿꒪)*
positive,happy,human,Triangle Mouths,(⁎⚈᷀᷁▿⚈᷀᷁⁎)
positive,happy,human,Triangle Mouths,(≧∇≦*)
positive,happy,human,Triangle Mouths,(=^▽^=)
positive,happy,human,Triangle Mouths,o(*^▽^*)o
positive,happy,human,Triangle Mouths,೭੧(❛▿❛✿)੭೨
positive,happy,human,Triangle Mouths,☜(⌒▽⌒)☞
positive,happy,human,Triangle Mouths,☜(˚▽˚)☞
positive,happy,human,Triangle Mouths,ɾ⚈▿⚈ɹ
positive,happy,human,Triangle Mouths,ﾍ(=￣∇￣)ﾉ
positive,happy,human,Triangle Mouths,φ(*⌒▽⌒)ﾉ
positive,happy,human,Triangle Mouths,(*･▽･*)
positive,happy,human,Triangle Mouths,(☆▽☆)
positive,happy,human,Triangle Mouths,≡(*′▽`)っ
positive,happy,human,Triangle Mouths,」(￣▽￣」)
positive,happy,human,Triangle Mouths,(〃⌒∇⌒)
positive,happy,human,Triangle Mouths,〔´∇｀〕
positive,happy,human,Triangle Mouths,(゜▼゜＊）
positive,happy,human,Triangle Mouths,໒( ͡ᵔ ▾ ͡ᵔ )७
positive,happy,human,Upside Down A Mouths,(｡´∀｀)ﾉ
positive,happy,human,Upside Down A Mouths,(　´∀｀)
positive,happy,human,Upside Down A Mouths,(・∀・)
positive,happy,human,Upside Down A Mouths,(´∀`)
positive,happy,human,Upside Down A Mouths,(°∀°)b
positive,happy,human,Upside Down A Mouths,(●´∀｀●)
positive,happy,human,Upside Down A Mouths,(✌ﾟ∀ﾟ)☞
positive,happy,human,Upside Down A Mouths,*(*´∀｀*)☆
positive,happy,human,Upside Down A Mouths,( ´ ∀ ` )
positive,happy,human,Upside Down A Mouths,ヽ(･∀･)ﾉ
positive,happy,human,Upside Down A Mouths,(。≖ˇ∀ˇ≖。)
positive,happy,human,Upside Down A Mouths,((o(´∀｀)o))
positive,happy,human,Upside Down A Mouths,o(´∀｀*)
positive,happy,human,Upside Down A Mouths,(ﾟ∀ﾟ　)
positive,happy,human,Upside Down A Mouths,(*≧∀≦*)
positive,happy,human,Upside Down A Mouths,(*ﾟ∀ﾟ*)
positive,happy,human,Upside Down A Mouths,ヾ(*´∀｀*)ﾉ
positive,happy,human,Upside Down A Mouths,(o^∀^o)
positive,happy,human,Upside Down A Mouths,ヾ(^ิ∀^ิ)
positive,happy,human,Upside Down A Mouths,o(｀・∀・´)○
positive,happy,human,Upside Down A Mouths,(ᗒᗊᗕ)
positive,happy,human,Upside Down A Mouths,(ノ・∀・)ノ
positive,happy,human,Upside Down A Mouths,o((◕ฺ∀ ◕✿ฺ))o
positive,happy,human,Upside Down A Mouths,～̎̎٩(⌒͡∀⌒͡⌯̊)̥̊◦
positive,happy,human,Upside Down A Mouths,(´･∀･`)
positive,happy,human,Upside Down A Mouths,∩(´∀｀∩)
positive,happy,human,Upside Down A Mouths,(ﾉ `･∀･)ﾉﾞ
positive,happy,human,Upside Down A Mouths,( ﾟ∀ ﾟ)
positive,happy,human,Upside Down A Mouths,Ψ(ﾟ∀ﾟ )Ψ
positive,happy,human,Upside Down A Mouths,Ψ(　ﾟ∀ﾟ)Ψ
positive,happy,human,Upside Down A Mouths,Ψ(ﾟ∀ﾟ)Ψ
positive,happy,human,Upside Down A Mouths,d┃･∀･┃b
positive,happy,human,Upside Down A Mouths,(*´･∀･)
positive,happy,human,Upside Down A Mouths,(･∀･○)
positive,happy,human,Upside Down A Mouths,【°∀°】
positive,happy,human,Upside Down A Mouths,（★￣∀￣★）
positive,happy,human,Upside Down A Mouths,(m*´∀`)m
